Field Name	Variable Name	Field Structure	Code Description	Type	Start Position	Length	End Position
	Certificate Number	Automatically assigned by EBRS System	In state deaths= 000001-0999999, out of state deaths=900001-909999	Numeric	1	10	10
	Alias Name	N, Y, U	0=No, 1=Yes, 9=Unknown 9=Blank	Numeric	11	1	11
	Full Name	Free Text 	Last, First, Middle and Suffix	Alphanumeric	12	25	36
	Death Year	yyyy	yyyy	Numeric	37	4	40
	Death Month	mm	mm	Numeric	41	2	42
	Death Day	dd	dd	Numeric	43	2	44
	State of Death	Drop down Menu	See State Code Table	Numeric	45	2	46
	City of Death	Drop down Menu	See City Code Table	Numeric	47	3	49
	County of Death	Drop down Menu	See County Code Table	Numeric	50	2	51
	Death Facility Code	Drop down Menu	See Facility Code Table	Numeric	52	4	55
	Place of Death	Drop down Menu	1=Inpatient (Hospital, Clinic or Med Ctr) 2=Out-Patient, ER or Tauma Center 3=DOA (Dead or Arrival) 4=Blank/Unknown 5=Nursing Homes, Convalescent Centers and Other Patient Care 6=Home/Residence 7=All Other Reported Entries 9=Unknown/Not Classifiable1=Inpatient (Hospital, Clinic or Med Ctr)	Numeric	56	1	56
UNKNOWN01					57	2	58
	Ethnicity Hispanic Origin?	Check Box Y/N	1=Yes, 2=No	Numeric	59	1	59
	Mexican	Check Box Y/N	1=Yes, 2=No	Numeric	60	1	60
	Puerto Rican	Check Box Y/N	1=Yes, 2=No	Numeric	61	1	61
	Cuban	Check Box Y/N	1=Yes, 2=No	Numeric	62	1	62
	Other	Check Box Y/N	1=Yes, 2=No	Numeric	63	1	63
	Other Description	Free Text 	Literal	Numeric	64	20	83
UNKNOWN02					84	1	84
	Race-White	Check Box Y/N	1=Yes, 2=No	Numeric	85	1	85
	Race-Black or African American	Check Box Y/N	1=Yes, 2=No	Numeric	86	1	86
	Race-Amer. Indian or Alaska Native	Check Box Y/N	1=Yes, 2=No	Numeric	87	1	87
	Race-Asian Indian	Check Box Y/N	1=Yes, 2=No	Numeric	88	1	88
	Race-Chinese	Check Box Y/N	1=Yes, 2=No	Numeric	89	1	89
	Race-Filipino	Check Box Y/N	1=Yes, 2=No	Numeric	90	1	90
	Race-Japanese	Check Box Y/N	1=Yes, 2=No	Numeric	91	1	91
	Race-Korean	Check Box Y/N	1=Yes, 2=No	Numeric	92	1	92
	Race-Vietnamese	Check Box Y/N	1=Yes, 2=No	Numeric	93	1	93
	Race-Other Asian	Check Box Y/N	1=Yes, 2=No	Numeric	94	1	94
	Race-Native Hawaiian	Check Box Y/N	1=Yes, 2=No	Numeric	95	1	95
	Race-Guamanian or Chamorro	Check Box Y/N	1=Yes, 2=No	Numeric	96	1	96
	Race-Samoan	Check Box Y/N	1=Yes, 2=No	Numeric	97	1	97
