Field Name,Order,Null?,Type,Max,Scale,Nbr,Date
ATTENDANTID,177,YES,int,,0,10,
REGISTRAR_REGIS_DATE,162,YES,datet,,,,3
REGISTRAR_SIGN,163,YES,varch,1,,,
REGISTRAR_SIG,164,YES,int,,0,10,
INFORMANT_NAME_FIRST,165,YES,varch,250,,,
INFORMANT_NAME_MIDDLE,166,YES,varch,250,,,
INFORMANT_NAME_LAST,167,YES,varch,250,,,
INFORMANT_NAME_SUFFIX,168,YES,varch,6,,,
INFORMANT_RELATIONSHIP,169,YES,varch,50,,,
INFORMANT_ADDR1,170,YES,varch,100,,,
INFORMANT_ADDR2,171,YES,varch,100,,,
INFORMANT_CITY,172,YES,varch,50,,,
INFORMANT_STATE,173,YES,varch,20,,,
INFORMANT_ZIP,174,YES,varch,5,,,
CERTIFIER_ZIPCODE,191,YES,varch,5,,,
ATTENDANT_ZIPCODE,183,YES,varch,5,,,
FATHER_MAIL_ZIPCODEID,129,YES,int,,0,10,
CERTIFIER_ADDR1,189,YES,varch,100,,,
CERTIFIER_TITLE,188,YES,varch,35,,,
CERTIFIERTITLEID,187,YES,int,,0,10,
CERTIFIER_DATE_COMP,186,YES,datet,,,,3
INFORMANT_PHONE,175,YES,varch,14,,,
CERTIFIERID,184,YES,int,,0,10,
ATTENDANT_NAME_LFM,176,YES,varch,100,,,
ATTENDANT_STATE,182,YES,varch,35,,,
ATTENDANT_ADDR1,181,YES,varch,100,,,
ATTENDANT_TITLE_CODE,180,YES,varch,2,,,
ATTENDANT_TITLE,179,YES,varch,35,,,
ATTENDANTTITLEID,178,YES,int,,0,10,
TRANS_INFANT_FACID,159,YES,int,,0,10,
CERTIFIER_NAME_LFM,185,YES,varch,100,,,
FATHER_OCCUPATION,136,YES,varch,50,,,
REGISTRARID,161,YES,int,,0,10,
LIVE_BIRTHS_DATE_MMYYYY,142,YES,varch,6,,,
LIVE_BIRTHS_DEAD,141,YES,varch,2,,,
LIVE_BIRTHS_LIVING,140,YES,varch,2,,,
FATHER_INDUSTRY_CD,139,YES,varch,3,,,
TERM_DATE_MMYYYY,144,YES,varch,6,,,
FATHER_OCCUPATION_CD,137,YES,varch,3,,,
MOTHER_MARRIED,145,YES,varch,1,,,
MOTHER_INDUSTRY_CD,135,YES,varch,3,,,
MOTHER_INDUSTRY,134,YES,varch,50,,,
MOTHER_OCCUPATION_CD,133,YES,varch,3,,,
MOTHER_OCCUPATION,132,YES,varch,50,,,
FATHER_PHONE,131,YES,varch,10,,,
BIRTHID,1,NO,int,,0,10,
FATHER_INDUSTRY,138,YES,varch,50,,,
BIRTH_WEIGHT_OZ,152,YES,int,,0,10,
CERTIFIER_SIGN,192,YES,varch,1,,,
TRANS_INFANT_FAC,158,YES,varch,50,,,
TRANS_INFANT,157,YES,varch,1,,,
APGAR_5,156,YES,varch,2,,,
APGAR_10,155,YES,varch,2,,,
TERM_NUMBER,143,YES,varch,2,,,
BIRTH_WEIGHT_LBS,153,YES,int,,0,10,
REGISTRAR_NAME_LFM,160,YES,varch,50,,,
BIRTH_WEIGHT_GRAMS,151,YES,int,,0,10,
GESTATION_WEEKS,150,YES,int,,0,10,
MENSES_DATE,149,YES,datet,,,,3
FATHER_SIGN_PAT_AFFIDAVIT,148,YES,varch,1,,,
FATHER_AND_HUSBAND_SIGN,147,YES,varch,1,,,
FATHER_IS_HUSBAND,146,YES,varch,1,,,
BIRTH_WEIGHT_UNIT,154,YES,varch,1,,,
IJE_SENT,240,YES,varch,1,,,
SSA_READY,225,YES,varch,1,,,
NAME_FULL_L_SUF_F_M,226,YES,varch,100,,,
APGAR_1,227,YES,varch,2,,,
VOID_FLAG,228,YES,varch,1,,,
FAC_NV_CODE,229,YES,varch,10,,,
LIVE_BIRTHS_TOTAL,230,YES,varch,2,,,
MOTHER_RES_COUNTRY_FIPS,231,YES,varch,2,,,
FAC_COUNTRY_FIPS,232,YES,varch,2,,,
EVENT_NAME,233,YES,varch,20,,,
CERTIFIER_DATE_COMP_STR,234,YES,varch,10,,,
REGISTRAR_REGIS_DATE_STR,235,YES,varch,10,,,
DATE_OF_BIRTH_STR,236,YES,varch,10,,,
MOTHER_RES_ST_ALPHA_FIPS,237,YES,varch,2,,,
CERTIFIER_STATE,190,YES,varch,35,,,
FAC_CITY_NAME_FOREIGN,246,YES,varch,40,,,
REG_SIGN_CNTY,253,YES,varch,1,,,
REGISTRAR_SIGN_BY,252,YES,varch,30,,,
MOTHER_MAIL_CNTY_NV_OLD,251,YES,varch,2,,,
MOTHER_MAIL_CITY_NV_OLD,250,YES,varch,3,,,
MOTHER_RES_CNTY_NV_OLD,249,YES,varch,3,,,
MOTHER_RES_ST_FIPS,238,YES,varch,2,,,
FAC_ST_NV_OLD,247,YES,varch,2,,,
ERRORS_PENDING,239,YES,varch,1,,,
FAC_CITY_NV_OLD,245,YES,varch,3,,,
FAC_CNTY_NV_OLD,244,YES,varch,2,,,
IJE_IMPORT_DATE,243,YES,datet,,,,3
IJE_IMPORT,242,YES,varch,1,,,
IJE_SENT_DATE,241,YES,datet,,,,3
CERTIFIER_CITY,222,YES,varch,50,,,
MOTHER_RES_CITY_NV_OLD,248,YES,varch,3,,,
SSN_REQUESTED,199,YES,varch,1,,,
SSA_VERIFIED_DATE,224,YES,datet,,,,3
OOS_YEAR,205,YES,varch,4,,,
PRINT_NUMBER,204,YES,int,,0,10,
ALERT_COUNT,203,YES,int,,0,10,
SSA_DATE_SENT,202,YES,datet,,,,3
DEATH_OCCURRED,207,YES,varch,1,,,
NCHS_READY,200,YES,varch,1,,,
HOSPITAL_PATERNITY_FLAG,208,YES,varch,1,,,
DATE_LAST_CCC,198,YES,datet,,,,3
OK_TO_COMMENT,197,YES,varch,250,,,
OK_TO_PRINT,196,YES,varch,1,,,
STOP_DATE,195,YES,datet,,,,3
STOP_FLAG,194,YES,varch,1,,,
CERTIFIER_SIG,193,YES,int,,0,10,
NCHS_DATE_SENT,201,YES,datet,,,,3
BIRTH_WEIGHT_GRAMS_BYPASS,215,YES,varch,1,,,
FATHER_MAIL_ZIP,128,YES,varch,9,,,
ATTENDANT_COUNTY,221,YES,varch,50,,,
ATTENDANT_CITY,220,YES,varch,50,,,
PATERNITY_SIGN_DATE,219,YES,datet,,,,3
MOTHER_MAIL_COUNTY,218,YES,varch,50,,,
OOS_B_NUM,206,YES,varch,15,,,
