schema	table	field	codeset	label	description
vital	births	cert_num		Birth Certificate Number	Birth Certificate Number (only unique per year)
vital	births	cert_yr		Birth Certificate Year	The infant's birth certificate year in which the date of birth occured.
vital	births	ssn_child		Child's Social Security Number	
vital	births	ssn_date		Social Security entered Date	
vital	births	ssn_request	standard2_yesno	Social Security Number Requested	
vital	births	name_fir		Child's First Name	
vital	births	name_mid		Child's Middle Name	
vital	births	name_sur		Child's Surname	
vital	births	name_sux		Child's Suffix	
vital	births	sex	sex	Child's Sex	The sex of the infant.
vital	births	bth_date		Child's Birth Date	The infant's date of birth.
vital	births	bth_time		Child's Birth Time	The infant's time of birth. (3-4 digit integer for hours and minutes)
vital	births	birth_ci	city	Birth City	
vital	births	birth_co	county	Birth County	
vital	births	birth_st	state	Birth State	The name of the State (USA) where the birth occurred. (NV)
vital	births	birth_da		Birth Day	Birth Day (1-31)
vital	births	birth_mo		Birth Month	Birth Month (1-12)
vital	births	birth_yr		Birth Year	Birth Year (4-digit)
vital	births	ac_anemia	standard4_yesno	Anemia (Hct<39/Hgb<13)	
vital	births	ac_antisepis	standard4_yesno	Antibiotics fro Neonatal Sepsis	Any antibacterial drug (penicillin, ampicillin, gentamicin, cefotoxine, etc.) given systemically (intravenous or intramuscular). Does not include antibiotics given to infants who are NOT suspected of having neonatal sepsis.
vital	births	ac_bthinjury	standard4_yesno	Birth Injury	Skeletal fracture(s), peripheral nerve injury, and/or soft tissue or solid organ hemorrhage that requires intervention. Present immediately following or soon after delivery. Includes any bony fracture or weakness or loss of sensation, but excludes fractured clavicles and transient facial nerve palsy.Includes any bony fracture or weakness or loss of sensation, but excludes fractured clavicles and transient facial nerve palsy. Soft tissue hemorrhage requiring evaluation and/or treatment, includes subgaleal (progressive extravasation within the scalp) hemorrhage, giant cephalohematoma, extensive truncal, facial and/or extremity ecchymosis accompanied by evidence of anemia and/or hypovolemia and/or hypotension. Solid organ hemorrhage includes subcapsular hematoma of the liver, fractures of the spleen, or adrenal hematoma.
vital	births	ac_fas	standard4_yesno	Fetal Alcohol Syndrome	
vital	births	ac_hyaline	standard4_yesno	Hyaline Membrane Disease / Rds	
vital	births	ac_mecon	standard4_yesno	Meconium Aspiration Syndrome	
vital	births	ac_nicu	standard4_yesno	NICU Admission	Admission into a facility or unit staffed and equipped to provide continuous mechanical ventilatory support for a newborn.
vital	births	ac_none	standard4_yesno	No Abnormal Conditions	
vital	births	ac_oth	standard4_yesno	Other Abnormal Conditions	
vital	births	ac_othlit		Other Abnormal Conditions (Literal)	
vital	births	ac_seizures	standard4_yesno	Seizures	Seizure - any involuntary repetitive, convulsive movement or behavior. Serious neurologic dysfunction - severe alteration of alertness.  Excludes: - Lethargy or hypotonia in the absence of other neurologic findings - Symptoms associated with CNS congenital anomalies.
vital	births	ac_surf	standard4_yesno	Surfactant Replacement Therapy	Endotracheal instillation of a surface-active suspension for treating surfactant deficiency due to preterm birth or pulmonary injury resulting in respiratory distress. Includes both artificial and extracted natural surfactant.
vital	births	ac_ventless	standard4_yesno	Assist Ventilation Immediately	Infant given manual breaths for any duration with bag and mask or bag and endotracheal tube within the first several minutes from birth. Excludes free flow oxygen only, laryngoscopy for aspiration of meconium and nasal cannula.
vital	births	ac_ventmore	standard4_yesno	Assist Ventilation More than 6 Hrs	Infant given mechanical ventilation (breathing assistance) by any method for more than 6 hours.  Includes conventional, high frequency and/or continuous positive pressure (CPAP). Excludes free flow oxygen only, laryngoscopy for aspiration of meconium and nasal cannula.
vital	births	acn_anencep	standard4_yesno	Anencephaly	Partial or complete absence of the brain and skull. Also called anencephalus, acrania, or absent brain. Also includes infants with craniorachischisis (anencephaly with a contiguous spine defect).
vital	births	acn_cdit	karotype	Suspected Chromosomal Disorder-Karyotype	
vital	births	acn_chromoth	standard4_yesno	Other Chromosomal Anomalies	Includes any constellation of congenital malformations resulting from or compatible with known syndromes caused by detectable defects in chromosome structure. Karyotype confirmed, Karyotype pending
vital	births	acn_chromothlit		Other Chromosomal Anomalies (Literal)	
vital	births	acn_circ	standard4_yesno	Other Circulatory / Respiratory Anomalies	
vital	births	acn_cirlit		Other Circulatory / Respiratory Anomalies (Literal)	
vital	births	acn_cleftlip	standard4_yesno	Cleft Lip With or Without Cleft Palate	Incomplete closure of the lip. May be unilateral, bilateral, or median.
vital	births	acn_cleftpalate	standard4_yesno	Cleft Palate Alone	Incomplete fusion of the palatal shelves. May be limited to the soft palate or may extend into the hard palate. Cleft palate in the presence of cleft lip should be included in the category above.
vital	births	acn_clubft	standard4_yesno	Club Foot	
vital	births	acn_diaphhern	standard4_yesno	Congenital Diaphragmatic Hernia	Defect in the formation of the diaphragm allowing herniation of abdominal organs into the thoracic cavity.
vital	births	acn_downs	karotype	Down Syndrome-Karyotype	Trisomy 21 Karyotype confirmed,  Karyotype pending
vital	births	acn_gastro	standard4_yesno	Other Gastrointestinal Anomalies	
vital	births	acn_gastrolit		Other Gastronointestinal Anomalies (Literal)	
