code	value
00500	Alamo
03700	Austin
04100	Baker
04900	Battle Mountain
05100	Beatty
05125	Beaverdam
05275	Bennett Springs
05700	Blue Diamond
06500	Boulder City city
08100	Bunkerville
08500	Caliente city
08600	Cal-Nev-Ari
08900	Carlin city
09700	Carson City
10200	Carter Springs
14090	Cold Springs
16300	Crescent Valley
16700	Crystal Bay
17500	Dayton
18500	Denio
19150	Double Spring
19800	Dry Valley
20700	Dyer
21520	East Valley
22500	Elko city
23500	Ely city
23700	Empire
23770	Enterprise
23900	Eureka
24100	Fallon city
24500	Fallon Station
24900	Fernley city
25000	Fish Springs
25490	Fort McDermitt
25900	Gabbs
26300	Gardnerville
26500	Gardnerville Ranchos
27100	Genoa
27300	Gerlach
27900	Glenbrook
28500	Golconda
28860	Golden Valley
28900	Goldfield
29500	Goodsprings
30220	Grass Valley
31300	Hawthorne
31900	Henderson city
32900	Hiko
34100	Humboldt River Ranch
34700	Imlay
35100	Incline Village
35275	Indian Hills
35300	Indian Springs
36500	Jackpot
37190	Johnson Lane
38000	Kingsbury
38100	Kingston
39100	Lakeridge
39300	Lamoille
40000	Las Vegas city
41000	Laughlin
41800	Lemmon Valley
42350	Logan Creek
43000	Lovelock city
43400	Lund
44000	McDermitt
44200	McGill
46000	Mesquite city
46800	Mina
47000	Minden
47840	Moapa Town
47880	Moapa Valley
48000	Mogul
48400	Montello
49310	Mount Charleston
49425	Mount Wilson
50400	Nellis AFB
50600	Nelson
51200	Nixon
51800	North Las Vegas city
52200	Oasis
53000	Orovada
53200	Osino
53600	Owyhee
53800	Pahrump
54200	Panaca
54600	Paradise
55400	Paradise Valley
57400	Pioche
58000	Preston
58820	Rachel
60600	Reno city
62170	Round Hill Village
63450	Ruhenstroth
63800	Ruth
64600	Sandy Valley
65400	Schurz
65600	Searchlight
67000	Silver Peak
67200	Silver Springs
67600	Skyland
68050	Smith Valley
68350	Spanish Springs
68400	Sparks city
68550	Spring Creek
68585	Spring Valley
68800	Stagecoach
69200	Stateline
70900	Summerlin South
71400	Sunrise Manor
71600	Sun Valley
71800	Sutcliffe
73600	Tonopah
74200	Topaz Lake
74400	Topaz Ranch Estates
77200	Ursine
78200	Valmy
79400	Verdi
80000	Virginia City
81000	Wadsworth
81245	Walker Lake
82250	Washoe Valley
83000	Wells city
83730	West Wendover city
83800	Whitney
84600	Winchester
84800	Winnemucca city
85400	Yerington city
86200	Zephyr Cove
