code	value
0	None
1	Anecephalus
2	Spina Bifida/Meningocele
3	Hydrocephalus
4	Microcephalus
5	Other Central Nervous System Anomalies
6	Heart Malformation
7	Other Circulatory/Respiratory Anomalies
8	Rectal Atresia/Stenosis
9	Tracheo-Esophageal Atresia
10	Gastroschisis
11	Other Gastrointestinal Anomalies
12	Malformed Genitalia
13	Renal Agenesis
14	Other Urogenital Anomalies
15	Cleft Lip/Palate
16	Polydactyly/Syndactyly/adactyly
17	Club Foot
18	Diaphragmatic Hernia
19	Other Musculoskeletal/Integumental Anomalies
20	Downs Syndrome
21	Other Chromosomal Anomalies
22	Other
99	Unknown
