code	value
1	Carson City
2	Henderson
3	Las Vegas
4	North Las Vegas
5	Reno
6	Sparks
11	Austin
17	Battle Mountain
23	Boulder City
25	Caliente
31	Dayton
48	Dresslerville
49	Duckwater
55	Elko
56	Ely
58	Eureka
59	Fallon
60	Fernley
63	Gardnerville
72	Goldfield
75	Hawthorne
80	Incline Village
82	Ione (Yomba)
95	Lee
101	Lovelock
107	McDermitt
108	McGill
113	Minden
115	Moapa
122	Nixon
131	Owyhee
135	Pahrump
137	Pioche
144	Ruby Valley
147	Schurz
160	Stateline
162	Stewart
170	Tippett
171	Tonopah
177	Virginia City
187	Wells
191	Winnemucca
192	Yerington
193	Zephyr Cove
700	Other Carson City Towns
701	Other Churchill Towns
702	Other Clark Towns
703	Other Douglas Towns
704	Other Elko Towns
705	Other Esmeralda Towns
706	Other Eureka Towns
707	Other Humboldt Towns
708	Other Lander Towns
709	Other Lincoln Towns
710	Other Lyon Towns
711	Other Mineral Towns
712	Other Nye Towns
713	Other Pershing Towns
714	Other Storey Towns
715	Other Washoe Towns
716	Other White Pine Towns
888	Out of State
999	Unknown
