1	Acute poliomyelitis
2	Varicella (chickenpox)
3	Measles
4	Human immunodeficiency virus (HIV) disease
5	Mumps
6	Other and unspecified viral diseases
7	Hodgkin's disease and non-Hodgkin's lymphomas
8	Leukemia
9	Other and unspecified malignant neoplasms
10	Influenza
11	Pneumonia
12	Newborn - maternal hypertensive disorders
13	Newborn - other maternal may unrelated to present pregnancy
14	Newborn - maternal complications of pregnancy
15	Newborn - complications of placenta, cord & membranes
16	Newborn - other complications of labor and delivery
17	Newborn - noxious influences via placenta/breast milk
18	Slow fetal growth and fetal malnutrition
19	Disorders related to short gestation & low birth weight, NEC
20	Disorders related to long gestation and high birth weight
21	Intrauterine hypoxia
22	Birth asphyxia
23	Congenital pneumonia
24	Neonatal aspiration syndromes
25	Interstitial emphysema & related from perinatal period
26	Pulmonary hemorrhage originating in the perinatal period
27	Chronic respiratory disease from perinatal period
28	Atelectasis
29	All other respiratory conditions from perinatal period
30	Bacterial sepsis of newborn
31	Omphalitis of newborn with or without mild hemorrhage
32	All other infections specific to the perinatal period
33	Neonatal hemorrhage
34	Hemorrhagic disease of newborn
35	Hemolytic disease - isoimmunization/other perinatal jaundice
36	Hematological disorders
37	Transport accidents
38	Falls
39	Accidental discharge of firearms
40	Accidental drowning and submersion
41	Accidental suffocation and strangulation in bed
42	Other accidental suffocation and strangulation
43	Accidental choking on food or other objects
44	Accidents caused by exposure to smoke, fire and flames
45	Accidental poisoning and exposure to noxious substances
46	Other and unspecified accidents
47	Assault (homicide) by hanging, strangulation and suffocation
48	Assault (homicide) by discharge of firearms
49	Neglect, abandonment and other maltreatment syndromes
50	Assault (homicide) by other and unspecified means
