code	value
1	Sudden Infant Death Syndrome (SIDS)
2	Motor vehicle accidents
3	Disorders related to gestation & fetal malnutrition
4	Diseases of the respiratory system
5	Congenital malformations of heart
6	Respiratory distress of newborn
7	Accidental drowning and submersion
8	Diseases of the nervous system
9	Assault (homicide)
10	Diseases of the circulatory system
11	Malignant neoplasms
12	Newborn affected by maternal factors & complications of PLD
13	Other symptoms, signs & abnormal clinical/lab findings, NEC
14	Other respiratory conditions from perinatal period
15	Diseases of the digestive system
16	All Others
