0,"Out of State Facilities"
1,"FitzHenry's Funeral Home (Carson)"
2,"Walton's Funeral Home (Carson)"
3,"Smith Family Funeral Home"
4,"Bunkers Brothers Mortuary"
5,"Palm Downtown or Main"
6,"American Burial & Cremation"
7,"Burns Funeral Home"
8,"Albertsons"
9,"Wiscombe Funeral Home"
10,"Freitas Funeral Home"
11,"Gunter's Funeral Home (Hawthorne)"
12,"Gunter's Funeral Home (Tonopah)"
13,"Lovelock Funeral Home"
14,"Ross, Burke, & Knobel (Sparks)"
15,"O'Brien, Rogers, & Crosby"
16,"Ross, Burke, & Knobel (Reno)"
17,"Walton's Funeral Home (Reno)"
18,"Walton's Funeral Home (Sparks)"
19,"Mountain Vista/Wilson Bates Funeral Home"
20,"University of Nevada Reno"
21,"Veterans Hospital"
23,"Palm Funeral Home (Henderson)"
24,"Palm Valley (Eastern)"
25,"Davis Funeral Home"
26,"Rose Manor"
27,"Nevada Memorial Cremation Society"
28,"Metcalf Funeral Home"
29,"Bunkers Eden Vale"
30,"Bunkers Memory Garden"
31,"John Sparks Memorial Chapel"
32,"Western Pacific Cremation Society"
33,"American National Cremation Society"
34,"Palm Jones Mortuary"
35,"Northern Nevada Memorial"
36,"Desert Memorial"
37,"Neptune Memorial Society of Nevada, Reno"
38,"Universal Funeraria Clark Co"
39,"Neptune Society of Pahrump"
40,"Virgin Valley Mortuary"
41,"Pahrump Family Mortuary"
42,"Telophase Cremation Society (Sparks)"
43,"Reno Memorial Funeral Service"
44,"Capital City Cremation & Burial"
45,"Affordable Cremation & Burial"
46,"Sunrise Memorial Park"
47,"Hines Funeral Home"
48,"FitzHenry's Carson Valley Funeral Home"
49,"Evergreen Funeral Home"
50,"FitzHenry's Funeral Home(Minden)"
51,"Palm Cheyenne"
52,"Hites Funeral Services"
53,"Walton's Funeral Home(Douglas Co)"
54,"New Horizon Mortuary"
55,"Harrison-Ross Mortuary"
56,"Valley Memorial"
57,"Garden Memorial"
58,"The Gardens"
59,"Desert Pines Funeral Home"
60,"King David Memorial of Las Vegas"
61,"Neptune Funeral Home"
62,"Sunrise Cremation & Burial Society"
63,"Boulder City Family Mortuary"
64,"Mountain View Mortuary"
65,"Truckee Meadows Cremation and Burial"
66,"Palm-Northwest"
67,"Final Wishes"
68,"Autumn Funeral Home"
69,"Nevada Funeral Service"
70,"Washoe Memorial Cremation & Burial"
71,"Moapa Valley Mortuary"
72,"Southern Nevada Mortuary"
73,"La Paloma Funeral Services"
74,"Thomas & Jones Funeral Home"
75,"Davis Funeral Home & Memorial Park"
76,"Lee Funeral Home & Cremation Service"
77,"Affinity Burial and Cremation"
78,"La Paloma Funeral Service -Reno"
79,"Kraft-Sussman Funeral Service, Inc"
80,"Simple Cremation and Burial Services"
81,"Simple Cremation Reno"
82,"McDermott Funeral Home"
83,"Reno Cremation and Burial Services"
84,"Simple Cremation and Burial Services, Durango"
85,"Simple Cremation and Burial Services, Carson City"
98,"Other"
99,"Unknown"
