Field Name,Order,Null?,Type,Max,Scale,Nbr,Date
FH_TRADE_NAME,33,YES,varch,200,,,
FH_EST_NUM,23,YES,varch,20,,,
HOSPICE_YN,19,YES,varch,1,,,
INJURY_ACTIVITY,18,YES,varch,1,,,
HOSPICE_PRG_CODE,20,YES,varch,8,,,
HOSPICE_PRG,21,YES,varch,50,,,
FH_ID,22,YES,varch,10,,,
FH_COUNTYC_NV,24,YES,varch,4,,,
FH_CITYC_NV,25,YES,varch,3,,,
FH_COMPLETE,26,YES,varch,1,,,
FH_COMPL_DATE,27,YES,datet,,,,3
FH_COMMENT,29,YES,varch,250,,,
FH_DIRECT_NAME,30,YES,varch,50,,,
INJURY_PLACEID,17,YES,varch,2,,,
FH_COMPL_USER,28,YES,varch,50,,,
DOINJURY_KNOW,9,YES,varch,1,,,
FD_LICENSE,32,YES,varch,10,,,
DEATH2ID,1,NO,int,,0,10,
INJURY_DATE_STRING,3,YES,varch,10,,,
D_TO_P_PRINT_DATE,4,YES,datet,,,,3
D_TO_P_PRINTED,5,YES,varch,1,,,
PAPER_ELECTRONIC,6,YES,varch,1,,,
EVENT_YEAR,2,YES,int,,0,10,
DOD_KNOWN,8,YES,varch,1,,,
DETHNICE,16,YES,varch,3,,,
INJURY_DATE_KNOWN,10,YES,varch,1,,,
INJURYPLACE,11,YES,varch,1,,,
ACTIVITY_CODE,12,YES,varch,1,,,
PEND_INVESTIGAT,13,YES,varch,1,,,
RESID_ZIPID_X,14,YES,int,,0,10,
FAC_ZIPID_X,15,YES,int,,0,10,
DECEDENT_FOUND,7,YES,varch,5,,,
LS18,161,YES,varch,5,,,
ACME3,126,YES,varch,8,,,
LS8,151,YES,varch,5,,,
LS9,152,YES,varch,5,,,
LS10,153,YES,varch,5,,,
LS11,154,YES,varch,5,,,
LS12,155,YES,varch,5,,,
LS13,156,YES,varch,5,,,
LS14,157,YES,varch,5,,,
LS15,158,YES,varch,5,,,
LS6,149,YES,varch,5,,,
LS17,160,YES,varch,5,,,
LS5,148,YES,varch,5,,,
LS19,162,YES,varch,5,,,
LS20,163,YES,varch,5,,,
NOSO_COMPLETE,164,YES,varch,1,,,
NOSO_COMPL_DATE,165,YES,datet,,,,3
NOSO_USER,166,YES,varch,51,,,
GEO_LAT,167,YES,varch,10,,,
GEO_LONG,168,YES,varch,10,,,
RECORD_TYPE,169,YES,varch,1,,,
SOURCE,170,YES,varch,2,,,
LS16,159,YES,varch,5,,,
ACME15,138,YES,varch,8,,,
ACME4,127,YES,varch,8,,,
ACME5,128,YES,varch,8,,,
ACME6,129,YES,varch,8,,,
ACME7,130,YES,varch,8,,,
ACME8,131,YES,varch,8,,,
ACME9,132,YES,varch,8,,,
ACME10,133,YES,varch,8,,,
ACME11,134,YES,varch,8,,,
ACME12,135,YES,varch,8,,,
LS7,150,YES,varch,5,,,
ACME14,137,YES,varch,8,,,
TRANSAX_CONVERSION,173,YES,varch,1,,,
ACME16,139,YES,varch,8,,,
ACME17,140,YES,varch,8,,,
ACME18,141,YES,varch,8,,,
ACME19,142,YES,varch,8,,,
ACME20,143,YES,varch,8,,,
LS1,144,YES,varch,5,,,
LS2,145,YES,varch,5,,,
LS3,146,YES,varch,5,,,
LS4,147,YES,varch,5,,,
ACME13,136,YES,varch,8,,,
MODIFY_USER,210,YES,varch,51,,,
SHIPMENT_NUMB,199,YES,varch,20,,,
VERIFIED_YN,200,YES,varch,1,,,
VERIF_USERID,201,YES,varch,20,,,
VERIF_DATE,202,YES,datet,,,,3
OCCODE_COMPLETE,203,YES,varch,1,,,
OCCODE_COMP_DATE,204,YES,datet,,,,3
OCCODE_USER,205,YES,varch,51,,,
REJECT_QUEUE,206,YES,varch,1,,,
ISACTIVE,207,YES,varch,1,,,
MANUAL_UNDERLYING_CODE,171,YES,varch,5,,,
MODIFY_USERID,209,YES,int,,0,10,
ICD10,196,YES,varch,5,,,
RAP_RPT_SENT,211,YES,varch,1,,,
RAP_RPT_SENT_DATE,212,YES,datet,,,,3
CANCER_SENT,213,YES,varch,1,,,
CANCER_SENT_DATE,214,YES,datet,,,,3
RARE_FLAG,215,YES,varch,1,,,
RARE_DATE,216,YES,datet,,,,3
