Field Name,Order,Null?,Type,Max,Scale,Nbr,Date
FIPS_STATE,35,YES,varch,2,,,
NAME_LAST,22,YES,varch,25,,,
NAME_SUFFIX,23,YES,varch,4,,,
SALUTATION,24,YES,varch,6,,,
DEGREE,25,YES,varch,10,,,
PHONE,26,YES,varch,10,,,
PHONE_EXTENSION,27,YES,varch,5,,,
EMAIL,28,YES,varch,50,,,
FAX,29,YES,varch,10,,,
PREFERRED_METHOD,30,YES,varch,10,,,
NAME_MIDDLE,21,YES,varch,25,,,
ACOS_NUMBER,34,YES,varch,10,,,
YEAR_VOIDED,31,YES,int,,0,10,
FIPS_COUNTY,36,YES,varch,3,,,
FIPS_CITY,37,YES,varch,5,,,
FIPS_CLASS_CODE,38,YES,varch,2,,,
ISACTIVE,39,YES,varch,1,,,
MODIFY_DATE,40,YES,datet,,,,3
MODIFY_USERID,41,YES,int,,0,10,
BIRTH_FAC,32,YES,varch,4,,,
COUNTY,10,YES,varch,50,,,
NAME_FIRST,20,YES,varch,25,,,
HPC_CODE,2,YES,varch,10,,,
NV_CODE_PRE,3,YES,varch,3,,,
NV_CODE_FAC_OLD,4,YES,varch,4,,,
HPC_NAME,5,YES,varch,100,,,
AKA,6,YES,varch,100,,,
ADDRESS1,7,YES,varch,50,,,
ADDRESS2,8,YES,varch,50,,,
DEATH_FAC,33,YES,varch,4,,,
CITY,9,YES,varch,50,,,
DEATH_HPCID,1,YES,int,,0,10,
NV_COUNTY_CODE,11,YES,varch,3,,,
STATE,12,YES,varch,2,,,
ZIP,13,YES,varch,10,,,
HPC_NCHS_CODE,14,YES,varch,10,,,
HPC_TYPE_NAME,15,YES,varch,50,,,
HPC_PAPER_ELEC,16,YES,varch,1,,,
HPC_LICENSE,17,YES,varch,15,,,
NAME_FML,18,YES,varch,50,,,
NAME_LFM,19,YES,varch,50,,,
